,Areaname,STCOU,LND110210D
257,"Boulder, CO",8013,726.29
258,"Broomfield, CO",8014,33.03
259,"Chaffee, CO",8015,1013.4
260,"Cheyenne, CO",8017,1778.28
261,"Clear Creek, CO",8019,395.23
262,"Conejos, CO",8021,1287.39
263,"Costilla, CO",8023,1226.95
264,"Crowley, CO",8025,787.42
265,"Custer, CO",8027,738.63
266,"Delta, CO",8029,1142.05
267,"Denver, CO",8031,153.0
268,"Dolores, CO",8033,1067.05
269,"Douglas, CO",8035,840.25
270,"Eagle, CO",8037,1684.53
271,"Elbert, CO",8039,1850.85
272,"El Paso, CO",8041,2126.8
273,"Fremont, CO",8043,1533.07
274,"Garfield, CO",8045,2947.56
275,"Gilpin, CO",8047,149.9
276,"Grand, CO",8049,1846.33
277,"Gunnison, CO",8051,3239.1
278,"Hinsdale, CO",8053,1117.25
279,"Huerfano, CO",8055,1591.0
280,"Jackson, CO",8057,1613.72
281,"Jefferson, CO",8059,764.21
282,"Kiowa, CO",8061,1767.77
283,"Kit Carson, CO",8063,2160.82
284,"Lake, CO",8065,376.91
285,"La Plata, CO",8067,1692.08
286,"Larimer, CO",8069,2596.0
287,"Las Animas, CO",8071,4772.67
288,"Lincoln, CO",8073,2577.63
289,"Logan, CO",8075,1838.55
290,"Mesa, CO",8077,3328.97
291,"Mineral, CO",8079,875.67
292,"Moffat, CO",8081,4743.29
293,"Montezuma, CO",8083,2029.53
294,"Montrose, CO",8085,2240.7
295,"Morgan, CO",8087,1280.43
296,"Otero, CO",8089,1261.96
297,"Ouray, CO",8091,541.59
298,"Park, CO",8093,2193.85
299,"Phillips, CO",8095,687.93
300,"Pitkin, CO",8097,970.7
301,"Prowers, CO",8099,1638.4
302,"Pueblo, CO",8101,2386.1
303,"Rio Blanco, CO",8103,3220.93
304,"Rio Grande, CO",8105,911.96
305,"Routt, CO",8107,2362.03
306,"Saguache, CO",8109,3168.53
307,"San Juan, CO",8111,387.49
308,"San Miguel, CO",8113,1286.61
309,"Sedgwick, CO",8115,548.04
310,"Summit, CO",8117,608.36
311,"Teller, CO",8119,557.06
312,"Washington, CO",8121,2518.03
313,"Weld, CO",8123,3987.24
314,"Yuma, CO",8125,2364.41
315,CONNECTICUT,9000,4842.36
316,"Fairfield, CT",9001,624.89
317,"Hartford, CT",9003,735.1
318,"Litchfield, CT",9005,920.56
319,"Middlesex, CT",9007,369.3
320,"New Haven, CT",9009,604.51
321,"New London, CT",9011,664.88
322,"Tolland, CT",9013,410.21
323,"Windham, CT",9015,512.91
324,DELAWARE,10000,1948.54
325,"Kent, DE",10001,586.18
326,"New Castle, DE",10003,426.29
327,"Sussex, DE",10005,936.08
328,DISTRICT OF COLUMBIA,11000,61.05
329,District of Columbia,11001,61.05
330,FLORIDA,12000,53624.76
331,"Alachua, FL",12001,875.02
332,"Baker, FL",12003,585.23
333,"Bay, FL",12005,758.46
334,"Bradford, FL",12007,293.96
335,"Brevard, FL",12009,1015.66
336,"Broward, FL",12011,1209.79
337,"Calhoun, FL",12013,567.33
338,"Charlotte, FL",12015,680.28
339,"Citrus, FL",12017,581.7
340,"Clay, FL",12019,604.36
341,"Collier, FL",12021,1998.32
342,"Columbia, FL",12023,797.57
343,"DeSoto, FL",12027,637.06
344,"Dixie, FL",12029,705.05
345,"Duval, FL",12031,762.19
346,"Escambia, FL",12033,656.46
347,"Flagler, FL",12035,485.46
348,"Franklin, FL",12037,534.73
349,"Gadsden, FL",12039,516.33
350,"Gilchrist, FL",12041,349.68
351,"Glades, FL",12043,806.01
352,"Gulf, FL",12045,564.01
353,"Hamilton, FL",12047,513.79
354,"Hardee, FL",12049,637.78
355,"Hendry, FL",12051,1152.75
356,"Hernando, FL",12053,472.54
357,"Highlands, FL",12055,1016.62
358,"Hillsborough, FL",12057,1020.21
359,"Holmes, FL",12059,478.78
360,"Indian River, FL",12061,502.87
361,"Jackson, FL",12063,917.76
362,"Jefferson, FL",12065,598.1
363,"Lafayette, FL",12067,543.41
364,"Lake, FL",12069,938.38
365,"Lee, FL",12071,784.51
366,"Leon, FL",12073,666.85
367,"Levy, FL",12075,1118.21
368,"Liberty, FL",12077,835.56
369,"Madison, FL",12079,695.95
370,"Manatee, FL",12081,742.93
371,"Marion, FL",12083,1584.55
372,"Martin, FL",12085,543.46
373,"Miami-Dade, FL",12086,1897.72
374,"Monroe, FL",12087,983.28
375,"Nassau, FL",12089,648.64
376,"Okaloosa, FL",12091,930.25
377,"Okeechobee, FL",12093,768.91
378,"Orange, FL",12095,903.43
379,"Osceola, FL",12097,1327.45
380,"Palm Beach, FL",12099,1969.76
381,"Pasco, FL",12101,746.89
382,"Pinellas, FL",12103,273.8
383,"Polk, FL",12105,1797.84
384,"Putnam, FL",12107,727.62
385,"St. Johns, FL",12109,600.66
386,"St. Lucie, FL",12111,571.93
387,"Santa Rosa, FL",12113,1011.61
388,"Sarasota, FL",12115,555.87
389,"Seminole, FL",12117,309.22
390,"Sumter, FL",12119,546.93
391,"Suwannee, FL",12121,688.55
392,"Taylor, FL",12123,1043.31
393,"Union, FL",12125,243.56
394,"Volusia, FL",12127,1101.03
395,"Wakulla, FL",12129,606.42
396,"Walton, FL",12131,1037.63
397,"Washington, FL",12133,582.8
398,GEORGIA,13000,57513.49
399,"Appling, GA",13001,507.08
400,"Atkinson, GA",13003,339.38
401,"Bacon, GA",13005,258.58
402,"Baker, GA",13007,341.94
403,"Baldwin, GA",13009,257.84
404,"Banks, GA",13011,232.09
405,"Barrow, GA",13013,160.31
406,"Bartow, GA",13015,459.54
407,"Ben Hill, GA",13017,250.12
408,"Berrien, GA",13019,451.9
409,"Bibb, GA",13021,249.76
410,"Bleckley, GA",13023,215.87
411,"Brantley, GA",13025,442.36
412,"Brooks, GA",13027,493.05
413,"Bryan, GA",13029,435.97
414,"Bulloch, GA",13031,672.81
415,"Burke, GA",13033,826.97
416,"Butts, GA",13035,184.39
417,"Calhoun, GA",13037,280.37
418,"Camden, GA",13039,613.03
419,"Candler, GA",13043,243.04
420,"Carroll, GA",13045,499.08
421,"Catoosa, GA",13047,162.16
422,"Charlton, GA",13049,773.58
423,"Chatham, GA",13051,426.44
424,"Chattahoochee, GA",13053,248.74
425,"Chattooga, GA",13055,313.34
426,"Cherokee, GA",13057,421.67
427,"Clarke, GA",13059,119.2
428,"Clay, GA",13061,195.38
429,"Clayton, GA",13063,141.57
430,"Clinch, GA",13065,800.22
431,"Cobb, GA",13067,339.55
432,"Coffee, GA",13069,575.1
433,"Colquitt, GA",13071,544.15
434,"Columbia, GA",13073,290.09
435,"Cook, GA",13075,227.16
436,"Coweta, GA",13077,440.89
437,"Crawford, GA",13079,324.89
438,"Crisp, GA",13081,272.58
439,"Dade, GA",13083,173.98
440,"Dawson, GA",13085,210.83
441,"Decatur, GA",13087,597.14
442,"DeKalb, GA",13089,267.58
443,"Dodge, GA",13091,495.89
444,"Dooly, GA",13093,391.94
445,"Dougherty, GA",13095,328.69
446,"Douglas, GA",13097,200.07
447,"Early, GA",13099,512.59
448,"Echols, GA",13101,414.89
449,"Effingham, GA",13103,477.7
450,"Elbert, GA",13105,351.06
451,"Emanuel, GA",13107,680.6
452,"Evans, GA",13109,182.85
453,"Fannin, GA",13111,386.72
454,"Fayette, GA",13113,194.34
455,"Floyd, GA",13115,509.91
456,"Forsyth, GA",13117,224.02
457,"Franklin, GA",13119,261.5
458,"Fulton, GA",13121,526.64
459,"Gilmer, GA",13123,426.54
460,"Glascock, GA",13125,143.74
461,"Glynn, GA",13127,419.75
462,"Gordon, GA",13129,355.81
463,"Grady, GA",13131,454.53
464,"Greene, GA",13133,387.44
465,"Gwinnett, GA",13135,430.38
466,"Habersham, GA",13137,276.74
467,"Hall, GA",13139,392.78
468,"Hancock, GA",13141,471.84
469,"Haralson, GA",13143,282.17
470,"Harris, GA",13145,463.87
471,"Hart, GA",13147,232.39
472,"Heard, GA",13149,296.03
473,"Henry, GA",13151,322.13
474,"Houston, GA",13153,375.54
475,"Irwin, GA",13155,354.34
476,"Jackson, GA",13157,339.66
477,"Jasper, GA",13159,368.17
478,"Jeff Davis, GA",13161,330.74
479,"Jefferson, GA",13163,526.49
480,"Jenkins, GA",13165,347.28
481,"Johnson, GA",13167,303.01
482,"Jones, GA",13169,393.93
